Ultra: 202.868, Highest: 565.764, Lowest: 1.92
Enlarged: 200.052, Highest: 329.861, Lowest: 0.251
Google: 189.4, Highest: 515.095, Lowest: 2.406
Moscow: 182.22, Highest: 537.473, Lowest: 16.834
World: 115.172, Highest: 353.607, Lowest: 0.358
Friends: 89.558, Highest: 396.253, Lowest: 0.107
Entire: 81.483, Highest: 221.478, Lowest: 0.473
Super: 75.517, Highest: 247.245, Lowest: 0.996
Validation: 67.417, Highest: 247.706, Lowest: 0.703
Exam: 61.555, Highest: 211.339, Lowest: 0.742
Extreme: 61.133, Highest: 153.633, Lowest: 4.716
Zurich: 59.701, Highest: 253.049, Lowest: 1.672
Chrome: 50.621, Highest: 152.004, Lowest: 1.074
Game: 43.805, Highest: 88.566, Lowest: 1.45
Verification: 30.753, Highest: 111.85, Lowest: 1.927
Full: 28.64, Highest: 87.912, Lowest: 1.473
Task: 15.658, Highest: 59.7, Lowest: 0.45
