test_type,Model_Name,Predicted_Latitude1,Predicted_Longitude1,Predicted_Latitude2,Predicted_Longitude2,Predicted_Latitude3,Predicted_Longitude3,Predicted_Latitude4,Predicted_Longitude4,Predicted_Latitude5,Predicted_Longitude5
Game,geo_predictor_nn_1000e_1024b_2277k.pth,49.72795,-10.462082,49.72795,-10.462082,49.72795,-10.462082,49.72795,-10.462082,49.72795,-10.462082
Game,geo_predictor_nn_1000e_1024b_2277k.pth,31.602379,53.57904,31.602379,53.57904,31.602379,53.57904,31.602379,53.57904,31.602379,53.57904
Game,geo_predictor_nn_1000e_1024b_2277k.pth,49.9404,4.2984467,49.9404,4.2984467,49.9404,4.2984467,49.9404,4.2984467,49.9404,4.2984467
Game,geo_predictor_nn_1000e_1024b_2277k.pth,23.827065,-54.52722,23.827065,-54.52722,23.827065,-54.52722,23.827065,-54.52722,23.827065,-54.52722
Game,geo_predictor_nn_1000e_1024b_2277k.pth,49.861084,41.416138,49.861084,41.416138,49.861084,41.416138,49.861084,41.416138,49.861084,41.416138
Game,geo_predictor_nn_1000e_196b_983k.pth,48.27057,-40.155655,48.27057,-40.155655,48.27057,-40.155655,48.27057,-40.155655,48.27057,-40.155655
Game,geo_predictor_nn_1000e_196b_983k.pth,4.3493347,97.26257,4.3493347,97.26257,4.3493347,97.26257,4.3493347,97.26257,4.3493347,97.26257
Game,geo_predictor_nn_1000e_196b_983k.pth,55.02574,-13.273071,55.02574,-13.273071,55.02574,-13.273071,55.02574,-13.273071,55.02574,-13.273071
Game,geo_predictor_nn_1000e_196b_983k.pth,21.376022,-76.535835,21.376022,-76.535835,21.376022,-76.535835,21.376022,-76.535835,21.376022,-76.535835
Game,geo_predictor_nn_1000e_196b_983k.pth,52.49092,45.38005,52.49092,45.38005,52.49092,45.38005,52.49092,45.38005,52.49092,45.38005
Game,geo_predictor_nn_1000e_200b_983k.pth,51.56198,2.9809265,51.56198,2.9809265,51.56198,2.9809265,51.56198,2.9809265,51.56198,2.9809265
Game,geo_predictor_nn_1000e_200b_983k.pth,8.952515,96.61322,8.952515,96.61322,8.952515,96.61322,8.952515,96.61322,8.952515,96.61322
Game,geo_predictor_nn_1000e_200b_983k.pth,51.198425,-2.5212708,51.198425,-2.5212708,51.198425,-2.5212708,51.198425,-2.5212708,51.198425,-2.5212708
Game,geo_predictor_nn_1000e_200b_983k.pth,14.509514,-70.187355,14.509514,-70.187355,14.509514,-70.187355,14.509514,-70.187355,14.509514,-70.187355
Game,geo_predictor_nn_1000e_200b_983k.pth,53.64679,46.193542,53.64679,46.193542,53.64679,46.193542,53.64679,46.193542,53.64679,46.193542
Game,geo_predictor_nn_1000e_256b_1042k.pth,49.758896,4.1604156,49.758896,4.1604156,49.758896,4.1604156,49.758896,4.1604156,49.758896,4.1604156
Game,geo_predictor_nn_1000e_256b_1042k.pth,2.350731,96.76373,2.350731,96.76373,2.350731,96.76373,2.350731,96.76373,2.350731,96.76373
Game,geo_predictor_nn_1000e_256b_1042k.pth,52.60475,3.7894745,52.60475,3.7894745,52.60475,3.7894745,52.60475,3.7894745,52.60475,3.7894745
Game,geo_predictor_nn_1000e_256b_1042k.pth,18.839554,-59.633286,18.839554,-59.633286,18.839554,-59.633286,18.839554,-59.633286,18.839554,-59.633286
Game,geo_predictor_nn_1000e_256b_1042k.pth,53.534546,53.572357,53.534546,53.572357,53.534546,53.572357,53.534546,53.572357,53.534546,53.572357
Game,geo_predictor_nn_1000e_256b_1081k.pth,50.63797,-7.0141754,50.63797,-7.0141754,50.63797,-7.0141754,50.63797,-7.0141754,50.63797,-7.0141754
Game,geo_predictor_nn_1000e_256b_1081k.pth,17.67662,86.609406,17.67662,86.609406,17.67662,86.609406,17.67662,86.609406,17.67662,86.609406
Game,geo_predictor_nn_1000e_256b_1081k.pth,52.249786,4.7179565,52.249786,4.7179565,52.249786,4.7179565,52.249786,4.7179565,52.249786,4.7179565
Game,geo_predictor_nn_1000e_256b_1081k.pth,-2.5261078,-61.917404,-2.5261078,-61.917404,-2.5261078,-61.917404,-2.5261078,-61.917404,-2.5261078,-61.917404
Game,geo_predictor_nn_1000e_256b_1081k.pth,55.5679,47.03055,55.5679,47.03055,55.5679,47.03055,55.5679,47.03055,55.5679,47.03055
Game,geo_predictor_nn_1000e_256b_722k.pth,50.32437,-31.282547,50.32437,-31.282547,50.32437,-31.282547,50.32437,-31.282547,50.32437,-31.282547
Game,geo_predictor_nn_1000e_256b_722k.pth,24.73034,91.90457,24.73034,91.90457,24.73034,91.90457,24.73034,91.90457,24.73034,91.90457
Game,geo_predictor_nn_1000e_256b_722k.pth,50.862595,9.227692,50.862595,9.227692,50.862595,9.227692,50.862595,9.227692,50.862595,9.227692
Game,geo_predictor_nn_1000e_256b_722k.pth,24.054062,-83.56555,24.054062,-83.56555,24.054062,-83.56555,24.054062,-83.56555,24.054062,-83.56555
Game,geo_predictor_nn_1000e_256b_722k.pth,58.56894,31.60498,58.56894,31.60498,58.56894,31.60498,58.56894,31.60498,58.56894,31.60498
Game,geo_predictor_nn_1000e_256b_865k.pth,49.71585,-0.13241577,49.71585,-0.13241577,49.71585,-0.13241577,49.71585,-0.13241577,49.71585,-0.13241577
Game,geo_predictor_nn_1000e_256b_865k.pth,2.089981,97.6904,2.089981,97.6904,2.089981,97.6904,2.089981,97.6904,2.089981,97.6904
Game,geo_predictor_nn_1000e_256b_865k.pth,53.70056,-0.19291687,53.70056,-0.19291687,53.70056,-0.19291687,53.70056,-0.19291687,53.70056,-0.19291687
Game,geo_predictor_nn_1000e_256b_865k.pth,24.505905,-70.59462,24.505905,-70.59462,24.505905,-70.59462,24.505905,-70.59462,24.505905,-70.59462
Game,geo_predictor_nn_1000e_256b_865k.pth,55.775238,39.041992,55.775238,39.041992,55.775238,39.041992,55.775238,39.041992,55.775238,39.041992
Game,geo_predictor_nn_1000e_256b_874k.pth,53.168335,-17.787949,53.168335,-17.787949,53.168335,-17.787949,53.168335,-17.787949,53.168335,-17.787949
Game,geo_predictor_nn_1000e_256b_874k.pth,5.9612503,102.62311,5.9612503,102.62311,5.9612503,102.62311,5.9612503,102.62311,5.9612503,102.62311
Game,geo_predictor_nn_1000e_256b_874k.pth,53.27533,3.8364716,53.27533,3.8364716,53.27533,3.8364716,53.27533,3.8364716,53.27533,3.8364716
Game,geo_predictor_nn_1000e_256b_874k.pth,21.550156,-91.563736,21.550156,-91.563736,21.550156,-91.563736,21.550156,-91.563736,21.550156,-91.563736
Game,geo_predictor_nn_1000e_256b_874k.pth,55.72911,55.66646,55.72911,55.66646,55.72911,55.66646,55.72911,55.66646,55.72911,55.66646
Game,geo_predictor_nn_1000e_256b_878k.pth,44.430573,-50.278152,44.430573,-50.278152,44.430573,-50.278152,44.430573,-50.278152,44.430573,-50.278152
Game,geo_predictor_nn_1000e_256b_878k.pth,15.579651,100.338165,15.579651,100.338165,15.579651,100.338165,15.579651,100.338165,15.579651,100.338165
Game,geo_predictor_nn_1000e_256b_878k.pth,51.38022,1.3794708,51.38022,1.3794708,51.38022,1.3794708,51.38022,1.3794708,51.38022,1.3794708
Game,geo_predictor_nn_1000e_256b_878k.pth,22.526955,-86.36004,22.526955,-86.36004,22.526955,-86.36004,22.526955,-86.36004,22.526955,-86.36004
Game,geo_predictor_nn_1000e_256b_878k.pth,55.431534,36.15265,55.431534,36.15265,55.431534,36.15265,55.431534,36.15265,55.431534,36.15265
Game,geo_predictor_nn_1000e_256b_916k.pth,50.033142,8.52507,50.033142,8.52507,50.033142,8.52507,50.033142,8.52507,50.033142,8.52507
Game,geo_predictor_nn_1000e_256b_916k.pth,0.21561432,101.76889,0.21561432,101.76889,0.21561432,101.76889,0.21561432,101.76889,0.21561432,101.76889
Game,geo_predictor_nn_1000e_256b_916k.pth,53.55414,1.4991913,53.55414,1.4991913,53.55414,1.4991913,53.55414,1.4991913,53.55414,1.4991913
Game,geo_predictor_nn_1000e_256b_916k.pth,15.936493,-77.500465,15.936493,-77.500465,15.936493,-77.500465,15.936493,-77.500465,15.936493,-77.500465
