test_type,point_index,latitude,longitude
Lavender,0,52.516117,-2.004328
Lavender,1,31.8493014,35.2266686
Lavender,2,36.6184887,-88.3600286
Lavender,3,60.9087756,28.1206302
Lavender,4,46.3332073,-73.4905423
Guinea,0,14.7366162,-17.333487
Guinea,1,56.9702074,24.1393877
Guinea,2,51.306979,-0.556926
Guinea,3,34.741606,135.5245822
Guinea,4,32.7773573,-117.1985646
United,0,51.8952761,-1.1183537
United,1,-5.3419033,120.1665516
United,2,38.9149075,-77.0925625
United,3,6.3490251,99.7589703
United,4,36.7971044,-119.8958626
Yippee,0,37.2461187,-76.6488819
Yippee,1,17.5421013,80.6055166
Yippee,2,-29.3102639,27.5317762
Yippee,3,50.7016383,20.653696
Yippee,4,30.9914195,-97.82943
Super,0,47.0676173,12.5318788
Super,1,45.8186432,-63.4844332
Super,2,41.8610051,12.5368213
Super,3,-6.3320979,106.8518361
Super,4,35.6061998,-77.3731937
Ultra,0,45.5097937,27.8273201
Ultra,1,41.71066,-93.7363551
Ultra,2,-31.387591,-57.9646316
Ultra,3,-37.8980561,144.626041
Ultra,4,54.3667423,-6.7718667
Extreme,0,8.6521503,81.0067919
Extreme,1,46.2477428,-80.4337085
Extreme,2,60.3055298,56.971439
Extreme,3,40.8337969,-74.0825815
Extreme,4,43.1914376,17.3801763
Game,0,59.2642,10.4276
Game,1,1.4855,103.8676
Game,2,54.9927,-1.6732
Game,3,19.4745,-99.1974
Game,4,58.6133,49.6275
Validation,0,43.3219114,-5.5783907
Validation,1,23.0376137,72.5819308
Validation,2,55.9300025,-3.2678762
Validation,3,51.9187417,4.4957128
Validation,4,40.6000729,-74.3125485
Verification,0,48.1787242,16.4149478
Verification,1,39.3544037,-76.4284282
Verification,2,12.6545729,77.4269159
Verification,3,53.5361597,-113.470894
Verification,4,65.9408919,12.2171864
Chrome,0,34.5230872,-86.9699949
Chrome,1,52.2929603,4.6668573
Chrome,2,52.585936,-0.2501907
Chrome,3,32.5221938,-82.9127378
Chrome,4,39.7692443,30.5314142
World,0,-6.8146562,-38.6533882
World,1,12.1391977,-68.9490383
World,2,59.4227739,15.8038038
World,3,51.5529906,-0.4758671
World,4,14.3329551,99.6477487
Task,0,34.2468633,-82.2092303
Task,1,49.935202,5.4581067
Task,2,43.9435807,12.4477353
Task,3,48.08332,-0.6451421
Task,4,53.3559593,55.9645235
Enlarged,0,-34.8295223,-58.8707693
Enlarged,1,40.4369798,-3.6859228
Enlarged,2,-54.1257734,-68.0709486
Enlarged,3,48.9828428,12.6387341
Enlarged,4,45.9312686,-82.4707373
Exam,0,-4.1237242,-38.3705862
Exam,1,40.1161881,-75.1248975
Exam,2,35.1362241,136.7419345
Exam,3,41.6557297,-91.5466424
Exam,4,-47.0777189,-72.1646972
Google,0,59.407269,15.415694
Google,1,52.5644145,-110.8206357
Google,2,-36.8700509,174.6481411
Google,3,37.9270951,-122.53026
Google,4,28.6397445,77.2929918
Zurich,0,29.9590073,-95.3911924
Zurich,1,62.6314057,23.6289403
Zurich,2,34.9733313,-84.0203661
Zurich,3,4.3001312,117.8594655
Zurich,4,55.7862947,-3.9229578
Moscow,0,-34.5218991,-58.5366628
Moscow,1,51.2135105,45.9190967
Moscow,2,53.1024139,-6.0640463
Moscow,3,37.715336,126.7597928
Moscow,4,47.5224219,-111.2700033
Friends,0,38.9812844,-76.9781788
Friends,1,59.871625,30.299387
Friends,2,-1.5005364,29.621744
Friends,3,59.0595843,-3.0761426
Friends,4,1.7170285,103.4522982
Full,0,41.102985,40.7492832
Full,1,52.5649318,-0.2828335
Full,2,47.2318584,38.8684533
Full,3,41.8301262,-70.8728116
Full,4,23.11086,72.5172045
Entire,0,34.628853,136.5105634
Entire,1,-22.1920816,-48.4043219
Entire,2,51.073197,17.7593433
Entire,3,36.575606,-79.8418298
Entire,4,38.1897149,15.243788
Berne,0,45.1505555,-62.9293509
Berne,1,-7.3554706,110.0087041
Berne,2,43.5722547,1.433309
Berne,3,42.6433378,-8.5002503
Berne,4,34.6325209,135.5288726
Beans,0,58.5876457,13.4665706
Beans,1,45.4151798,-72.9940301
Beans,2,17.6926828,121.7066423
Beans,3,6.711965,-1.6163255
Beans,4,54.9033943,61.3904874
Geneva,0,51.5228122,-0.4598376
Geneva,1,50.3514039,13.9085949
Geneva,2,-33.4692077,25.4182488
Geneva,3,7.4913942,3.9163648
Geneva,4,44.4120475,-90.9631281
Screen,0,40.8277375,-73.3291613
Screen,1,61.0183407,24.5133898
Screen,2,39.133634,-94.7250001
Screen,3,28.5947955,77.2494721
Screen,4,21.1454991,-88.1384239
Shoot,0,29.5580223,-98.322072
Shoot,1,49.7909501,18.4802871
Shoot,2,50.1588493,-5.2928866
Shoot,3,7.086827,125.5943939
Shoot,4,40.7892681,-73.50277
Funky,0,7.8269091,98.3394144
Funky,1,49.3641445,8.5459606
Funky,2,27.0107561,-82.1502861
Funky,3,23.874421,90.3919131
Funky,4,38.416887,-90.3832795
Best,0,59.407269,15.415694
Best,1,49.3641445,8.5459606
Best,2,-1.5005364,29.621744
Best,3,23.874421,90.3919131
Best,4,51.5529906,-0.4758671
