image_path,cluster_label
D:/GeoGuessrGuessr/geoguesst\-0.0560113_119.8734944_Index__Index_2.png,8
D:/GeoGuessrGuessr/geoguesst\-0.0560113_119.8734944_Index__Index_3.png,8
D:/GeoGuessrGuessr/geoguesst\-0.0560113_119.8734944_Index__Index_4.png,8
D:/GeoGuessrGuessr/geoguesst\-0.0560113_119.8734944_Index__Index_5.png,8
D:/GeoGuessrGuessr/geoguesst\-0.0560113_119.8734944_Index__Index_6.png,7
D:/GeoGuessrGuessr/geoguesst\-0.0560113_119.8734944_Index__Index_7.png,8
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_1.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_2.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_3.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_4.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_6.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_7.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0591725_115.6154324_Index__Index_8.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_1.png,6
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_2.png,6
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_3.png,3
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_4.png,3
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_5.png,3
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_6.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_7.png,4
D:/GeoGuessrGuessr/geoguesst\-0.0677224_37.6995655_Index__Index_8.png,3
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_1.png,6
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_2.png,6
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_3.png,6
D:/GeoGuessrGuessr/geoguesst\-0.0746485_34.7382532_Index__Index_4.png,4
